-5.000000	0	9.000000
-4.900000	0	1.000000
-4.800000	0	9.000000
-4.700000	0	1.000000
-4.600000	0	9.000000
-4.500000	0	1.000000
-4.400000	0	9.000000
-4.300000	1	1.000000
-4.200000	0	9.000000
-4.100000	0	1.000000
-4.000000	0	9.000000
-3.900000	0	1.000000
-3.800000	0	9.000000
-3.700000	0	1.000000
-3.600000	1	9.000000
-3.500000	0	1.000000
-3.400000	0	9.000000
-3.300000	0	1.000000
-3.200000	3	9.000000
-3.100000	2	1.000000
-3.000000	3	9.000000
-2.900000	2	1.000000
-2.800000	3	9.000000
-2.700000	9	1.000000
-2.600000	6	9.000000
-2.500000	5	1.000000
-2.400000	8	9.000000
-2.300000	4	1.000000
-2.200000	5	9.000000
-2.100000	8	1.000000
-2.000000	9	9.000000
-1.900000	15	1.000000
-1.800000	11	9.000000
-1.700000	11	1.000000
-1.600000	19	9.000000
-1.500000	12	1.000000
-1.400000	18	9.000000
-1.300000	24	1.000000
-1.200000	25	9.000000
-1.100000	24	1.000000
-1.000000	28	9.000000
-0.900000	39	1.000000
-0.800000	44	9.000000
-0.700000	55	1.000000
-0.600000	87	9.000000
-0.500000	82	1.000000
-0.400000	91	9.000000
-0.300000	97	1.000000
-0.200000	118	9.000000
-0.100000	109	1.000000
0.000000	111	9.000000
0.100000	127	1.000000
0.200000	117	9.000000
0.300000	100	1.000000
0.400000	89	9.000000
0.500000	57	1.000000
0.600000	62	9.000000
0.700000	56	1.000000
0.800000	50	9.000000
0.900000	43	1.000000
1.000000	22	9.000000
1.100000	31	1.000000
1.200000	26	9.000000
1.300000	15	1.000000
1.400000	16	9.000000
1.500000	13	1.000000
1.600000	14	9.000000
1.700000	11	1.000000
1.800000	11	9.000000
1.900000	8	1.000000
2.000000	4	9.000000
2.100000	7	1.000000
2.200000	5	9.000000
2.300000	3	1.000000
2.400000	3	9.000000
2.500000	1	1.000000
2.600000	4	9.000000
2.700000	3	1.000000
2.800000	3	9.000000
2.900000	4	1.000000
3.000000	0	9.000000
3.100000	1	1.000000
3.200000	2	9.000000
3.300000	0	1.000000
3.400000	0	9.000000
3.500000	1	1.000000
3.600000	1	9.000000
3.700000	1	1.000000
3.800000	0	9.000000
3.900000	0	1.000000
4.000000	0	9.000000
4.100000	0	1.000000
4.200000	0	9.000000
4.300000	0	1.000000
4.400000	0	9.000000
4.500000	0	1.000000
4.600000	0	9.000000
4.700000	0	1.000000
4.800000	0	9.000000
4.900000	0	1.000000
